timestamp,case_id,concept,severity,predicted_root_cause,confidence,evidence_quality,risk_level
2026-08-27 16:09:13,CUSTOM-CASE,DHCP,High,No root cause available.,0,75,🟠 High Risk – Verify Before Making Changes
2026-08-27 16:09:13,CUSTOM-CASE,DHCP,High,DHCP Pool Exhausted,89,85,🟠 High Risk – Strong Evidence Detected
2026-08-27 16:09:27,CUSTOM-CASE,DHCP,High,DHCP Pool Exhausted,89,85,🟠 High Risk – Strong Evidence Detected
2026-08-27 16:14:56,VLAN-001,VLAN,Medium,No root cause available.,0,90,🟡 Moderate Risk – Human Verification Recommended
2026-08-27 16:16:54,VLAN-001,VLAN,Medium,No root cause available.,0,90,🟡 Moderate Risk – Human Verification Recommended
2026-08-27 16:42:46,VLAN-001,VLAN,Medium,No root cause available.,0,90,🟡 Moderate Risk – Human Verification Recommended
2026-08-27 16:44:48,CUSTOM-CASE,VLAN,Low,No root cause available.,0,35,🟡 Moderate Risk – Insufficient Diagnostic Evidence
2026-08-27 16:44:55,CUSTOM-CASE,DNS,Low,No root cause available.,0,35,🟡 Moderate Risk – Insufficient Diagnostic Evidence
2026-08-27 16:44:57,CUSTOM-CASE,DNS,Low,No root cause available.,0,35,🟡 Moderate Risk – Insufficient Diagnostic Evidence
2026-08-27 16:45:05,CUSTOM-CASE,DNS,Low,No root cause available.,0,55,🟡 Moderate Risk – Insufficient Diagnostic Evidence
2026-08-27 16:45:11,CUSTOM-CASE,DNS,Low,No root cause available.,0,70,🟡 Moderate Risk – Insufficient Diagnostic Evidence
2026-08-27 16:45:18,CUSTOM-CASE,DNS,Low,No root cause available.,0,90,🟡 Moderate Risk – Insufficient Diagnostic Evidence
2026-08-27 16:45:23,CUSTOM-CASE,DNS,Low,DNS Resolution Failure,81,100,🟢 Low Risk
2026-08-27 16:46:02,CUSTOM-CASE,VLAN,Low,DNS Resolution Failure,81,100,🟢 Low Risk
2026-08-27 16:46:03,CUSTOM-CASE,VLAN,Low,DNS Resolution Failure,81,100,🟢 Low Risk
2026-08-27 16:46:05,CUSTOM-CASE,VLAN,Medium,DNS Resolution Failure,81,100,🟡 Moderate Risk
2026-08-27 16:46:15,CUSTOM-CASE,VLAN,Medium,DNS Resolution Failure,81,100,🟡 Moderate Risk
2026-08-27 16:46:22,CUSTOM-CASE,VLAN,Medium,DNS Resolution Failure,81,100,🟡 Moderate Risk
2026-08-27 16:46:29,CUSTOM-CASE,VLAN,Medium,DNS Resolution Failure,81,100,🟡 Moderate Risk
2026-08-27 16:46:36,CUSTOM-CASE,VLAN,Medium,Custom diagnosis based on the provided network evidence.,55,90,🟡 Moderate Risk
2026-08-27 16:47:32,CUSTOM-CASE,DHCP,Medium,Custom diagnosis based on the provided network evidence.,55,90,🟡 Moderate Risk
2026-08-27 16:47:33,CUSTOM-CASE,DHCP,Medium,Custom diagnosis based on the provided network evidence.,55,90,🟡 Moderate Risk
2026-08-27 16:47:38,CUSTOM-CASE,DHCP,High,Custom diagnosis based on the provided network evidence.,55,90,🟠 High Risk – Verify Before Making Changes
2026-08-27 16:47:45,CUSTOM-CASE,DHCP,High,Custom diagnosis based on the provided network evidence.,55,90,🟠 High Risk – Verify Before Making Changes
2026-08-27 16:47:53,CUSTOM-CASE,DHCP,High,Custom diagnosis based on the provided network evidence.,55,90,🟠 High Risk – Verify Before Making Changes
2026-08-27 16:48:02,CUSTOM-CASE,DHCP,High,Custom diagnosis based on the provided network evidence.,55,90,🟠 High Risk – Verify Before Making Changes
2026-08-27 16:48:06,CUSTOM-CASE,DHCP,High,DHCP Pool Exhausted,89,100,🟠 High Risk – Strong Evidence Detected
2026-08-27 16:48:29,CUSTOM-CASE,Firewall,High,DHCP Pool Exhausted,89,100,🟠 High Risk – Strong Evidence Detected
2026-08-27 16:48:34,CUSTOM-CASE,Firewall,High,DHCP Pool Exhausted,89,100,🟠 High Risk – Strong Evidence Detected
2026-08-27 16:48:36,CUSTOM-CASE,Firewall,Critical,DHCP Pool Exhausted,89,100,🔴 Critical Risk – Immediate Human Review Required
2026-08-27 16:48:43,CUSTOM-CASE,Firewall,Critical,DHCP Pool Exhausted,89,100,🔴 Critical Risk – Immediate Human Review Required
2026-08-27 16:48:49,CUSTOM-CASE,Firewall,Critical,DHCP Pool Exhausted,89,100,🔴 Critical Risk – Immediate Human Review Required
2026-08-27 16:48:58,CUSTOM-CASE,Firewall,Critical,DHCP Pool Exhausted,89,100,🔴 Critical Risk – Immediate Human Review Required
2026-08-27 16:48:59,CUSTOM-CASE,Firewall,Critical,Custom diagnosis based on the provided network evidence.,55,90,🔴 Critical Risk – Immediate Human Review Required
2026-08-27 17:17:13,VLAN-001,VLAN,Medium,No root cause available.,0,90,🟡 Moderate Risk – Human Verification Recommended
2026-08-27 17:29:28,VLAN-001,VLAN,Medium,No root cause available.,0,90,🟡 Moderate Risk – Human Verification Recommended
2026-08-27 17:34:19,VLAN-001,VLAN,Medium,No root cause available.,0,90,🟡 Moderate Risk – Human Verification Recommended
2026-08-27 17:34:43,VLAN-001,VLAN,Medium,PC1 is assigned to VLAN 10 instead of VLAN 20.,55,90,🟡 Moderate Risk
2026-08-27 17:34:43,VLAN-001,VLAN,Medium,PC1 is assigned to VLAN 10 instead of VLAN 20.,55,90,🟡 Moderate Risk
2026-08-27 17:35:10,CUSTOM-CASE,VLAN,Low,PC1 is assigned to VLAN 10 instead of VLAN 20.,55,35,🟡 Moderate Risk – Insufficient Diagnostic Evidence
2026-08-27 17:35:13,CUSTOM-CASE,DHCP,Low,PC1 is assigned to VLAN 10 instead of VLAN 20.,55,35,🟡 Moderate Risk – Insufficient Diagnostic Evidence
2026-08-27 17:35:15,CUSTOM-CASE,DHCP,Low,PC1 is assigned to VLAN 10 instead of VLAN 20.,55,35,🟡 Moderate Risk – Insufficient Diagnostic Evidence
2026-08-27 17:35:17,CUSTOM-CASE,DHCP,High,PC1 is assigned to VLAN 10 instead of VLAN 20.,55,35,🟠 High Risk – Verify Before Making Changes
2026-08-27 17:35:25,CUSTOM-CASE,DHCP,High,PC1 is assigned to VLAN 10 instead of VLAN 20.,55,55,🟠 High Risk – Verify Before Making Changes
2026-08-27 17:35:35,CUSTOM-CASE,DHCP,High,PC1 is assigned to VLAN 10 instead of VLAN 20.,55,75,🟠 High Risk – Verify Before Making Changes
2026-08-27 17:35:41,CUSTOM-CASE,DHCP,High,DHCP Pool Exhausted,89,85,🟠 High Risk – Strong Evidence Detected
2026-08-27 17:35:41,CUSTOM-CASE,DHCP,High,DHCP Pool Exhausted,89,85,🟠 High Risk – Strong Evidence Detected
2026-08-27 17:42:44,VLAN-001,VLAN,Medium,No root cause available.,0,90,🟡 Moderate Risk – Human Verification Recommended
2026-08-27 17:55:56,VLAN-001,VLAN,Medium,No root cause available.,0,90,🟡 Moderate Risk – Human Verification Recommended
2026-08-27 17:56:31,DEMO-CASE,VLAN,Medium,No root cause available.,0,90,🟡 Moderate Risk – Human Verification Recommended
2026-08-27 17:56:44,DEMO-CASE,VLAN,Medium,Possible VLAN Mismatch,81,100,🟡 Moderate Risk
2026-08-27 17:56:45,DEMO-CASE,VLAN,Medium,Possible VLAN Mismatch,81,100,🟡 Moderate Risk
2026-08-27 17:57:25,DEMO-CASE,DHCP,High,Possible VLAN Mismatch,81,100,🟠 High Risk – Strong Evidence Detected
2026-08-27 17:57:31,DEMO-CASE,DHCP,High,DHCP Pool Exhausted,89,100,🟠 High Risk – Strong Evidence Detected
2026-08-27 17:57:31,DEMO-CASE,DHCP,High,DHCP Pool Exhausted,89,100,🟠 High Risk – Strong Evidence Detected
2026-08-27 20:31:10,VLAN-001,VLAN,Medium,No root cause available.,0,90,🟡 Moderate Risk – Human Verification Recommended
2026-08-27 20:31:27,DEMO-CASE,VLAN,Medium,No root cause available.,0,90,🟡 Moderate Risk – Human Verification Recommended
2026-08-27 20:32:08,DEMO-CASE,VLAN,Medium,Possible VLAN Mismatch,81,100,🟡 Moderate Risk
2026-08-27 20:32:08,DEMO-CASE,VLAN,Medium,Possible VLAN Mismatch,81,100,🟡 Moderate Risk
2026-08-27 20:32:49,DEMO-CASE,DHCP,High,No root cause available.,0,90,🟠 High Risk – Verify Before Making Changes
2026-08-27 20:33:25,DEMO-CASE,DHCP,High,DHCP Pool Exhausted,89,100,🟠 High Risk – Strong Evidence Detected
2026-08-27 20:33:25,DEMO-CASE,DHCP,High,DHCP Pool Exhausted,89,100,🟠 High Risk – Strong Evidence Detected
2026-08-27 20:33:37,VLAN-001,VLAN,Medium,No root cause available.,0,90,🟡 Moderate Risk – Human Verification Recommended
2026-08-27 20:35:15,VLAN-001,VLAN,Medium,PC1 is assigned to VLAN 10 instead of VLAN 20.,55,90,🟡 Moderate Risk
2026-08-27 20:35:15,VLAN-001,VLAN,Medium,PC1 is assigned to VLAN 10 instead of VLAN 20.,55,90,🟡 Moderate Risk
2026-08-27 20:35:31,GW-001,Gateway,High,No root cause available.,0,90,🟠 High Risk – Verify Before Making Changes
2026-08-27 20:35:40,GW-001,Gateway,High,Default gateway is configured for the wrong network.,55,90,🟠 High Risk – Verify Before Making Changes
2026-08-27 20:35:40,GW-001,Gateway,High,Default gateway is configured for the wrong network.,55,90,🟠 High Risk – Verify Before Making Changes
2026-08-27 20:35:51,CUSTOM-CASE,VLAN,Low,No root cause available.,0,35,🟡 Moderate Risk – Insufficient Diagnostic Evidence
2026-08-27 20:39:17,VLAN-001,VLAN,Medium,No root cause available.,0,90,🟡 Moderate Risk – Human Verification Recommended
2026-08-27 20:43:20,VLAN-001,VLAN,Medium,No root cause available.,0,90,🟡 Moderate Risk – Human Verification Recommended
